serverip            	string              	                    
servercountry       	string              	                    
serverprovince      	string              	                    
servercity          	string              	                    
serveroperator      	string              	                    
times_tamp          	string              	                    
model               	string              	                    
appkey              	string              	                    
versioncode         	string              	                    
mac                 	string              	                    
sdkversion          	string              	                    
ttimes              	string              	                    
longitude           	string              	                    
tid                 	string              	                    
screen              	string              	                    
os                  	string              	                    
osversion           	string              	                    
imei                	string              	                    
cpu                 	string              	                    
m1                  	string              	                    
m2                  	string              	                    
totalsession        	string              	                    
sessionnum          	string              	                    
versionname         	string              	                    
board               	string              	                    
ctime               	string              	                    
operator            	string              	                    
country             	string              	                    
ip                  	string              	                    
appname             	string              	                    
nettype             	string              	                    
todaysession        	string              	                    
lastversion         	string              	                    
manufacturer        	string              	                    
brand               	string              	                    
latitude            	string              	                    
language            	string              	                    
channel             	string              	                    
packname            	string              	                    
tag                 	string              	                    
type                	string              	                    
thedate             	string              	                    
thehour             	string              	                    
uid                 	string              	                    
header_ext          	map<string,string>  	                    
terminate_createtime	string              	                    
terminate_dntr      	string              	                    
terminate_terminatetime	string              	                    
terminate_session   	string              	                    
terminate_uptr      	string              	                    
terminate_activity  	map<string,string>  	                    
terminate_ext       	map<string,string>
